"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844359654551220356","Thu Oct 10 12:49:42 +0000 2024","6","Bahrain akan menjamu Timnas Indonesia pada lanjutan Ronde 3 Kualifikasi Piala Dunia 2026. Berikut harapan dan pesan dari Aji Santoso. https://t.co/h5vzu7ZdTe","1844359654551220356","","","in","Jakarta","0","0","1","https://x.com/detiksport/status/1844359654551220356","135783107","detiksport"
"1844395611631780117","Thu Oct 10 15:12:35 +0000 2024","35","Indonesia XI vs Bahrain: Maarten Paes (GK) Mees Hilgers Jordi Amat Jay Idzes (C) Calvin Verdonk Ivar Jenner Thom Haye Sandy Walsh Malik Risaldi Rafael Struick Ragnar Oratmangoen #TimnasDay","1844395611631780117","","","in","Indonesia","0","1","1","https://x.com/footballinanews/status/1844395611631780117","799987901983375360","footballinanews"
"1843782819182719312","Tue Oct 08 22:37:34 +0000 2024","35","Probable line-up Indonesia vs Bahrain (3-4-2-1) Paes (GK); Ridho Idzes Hilgers; Verdonk Jenner Haye Walsh; Oratmangoen Witan; Struick (Source: Tirto)","1843782819182719312","","","en","Indonesia","2","4","2","https://x.com/footballinanews/status/1843782819182719312","799987901983375360","footballinanews"
"1844387324983116169","Thu Oct 10 14:39:39 +0000 2024","288","Starter Timnas Indonesia vs Bahrain Marteen Paes (GK) Mees Hilgers Jordi Amat Jay Idzes (c) Calvin Verdonk Sandy Walsh Thom Haye Ivar Jenner Malik Risaldi Rafael Struick Ragnar Oratmangoen #WorldCupAsianQualifiers","1844387324983116169","","","in","Indonesia","4","8","32","https://x.com/ainurohman/status/1844387324983116169","132276059","ainurohman"
"1844187137396400581","Thu Oct 10 01:24:11 +0000 2024","2","Head to Head Bahrain vs Timnas Indonesia: 2 Kali Menang Pernah Dibantai 0-10 https://t.co/itZNwVSDx1","1844187137396400581","","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/SINDOnews/status/1844187137396400581","231355136","SINDOnews"
"1844209994675466587","Thu Oct 10 02:55:01 +0000 2024","43","preDICKsi SUSUnan starting line up Timnas Indonesia vs Bahrain malam ini gimanaaa udah siapin meme jamaah jumat yang berbahagia belomm? #TimnasDay https://t.co/QFNbOn92Fd","1844209994675466587","https://pbs.twimg.com/media/GZfy6hLaAAA4NvN.png","","in","","0","6","0","https://x.com/id_lgk/status/1844209994675466587","1618202272038813696","id_lgk"
"1844002168472535098","Wed Oct 09 13:09:11 +0000 2024","4","Media Inggris Beri Prediksi Timnas Indonesia Vs Bahrain Skuad Garuda Diakui Performanya Sangat Baik: Kami Katakan...: Media Inggris tiba-tiba memberi prediksi laga Timnas Indonesia vs Bahrain hingga menyebut skuad Garuda sedang dalam performa yang https://t.co/ZiFseQLBxU https://t.co/w2MRy9ZSvC","1844002168472535098","https://pbs.twimg.com/media/GZc2M1vaMAAYpEh.jpg","","in","Pulo Gadung, Indonesia","0","0","0","https://x.com/tvOneNews/status/1844002168472535098","55507370","tvOneNews"
"1844248667924070561","Thu Oct 10 09:35:55 +0000 2024","0","@strootsys yang semangat dong yang semangat dong🇮🇩🇮🇩🇮🇩 Bahrain 0-2 Indonesia #TimnasDay","1844310884614909980","","strootsys","in","","0","0","0","https://x.com/gondessanfor/status/1844310884614909980","996189404807905281","gondessanfor"
"1843958477334643147","Wed Oct 09 10:15:34 +0000 2024","4","Maarten Paes Jelang Laga Bahrain vs Timnas Indonesia: Saya Suka 3 Poin Jadi Bisa Main Kah? https://t.co/xsi6aDQJqo","1843958477334643147","","","in","","0","0","0","https://x.com/Bolanet/status/1843958477334643147","85537477","Bolanet"
"1843648085886644632","Tue Oct 08 13:42:11 +0000 2024","2","Jadwal Timnas Indonesia Vs Bahrain dan China di Kualifikasi Piala Dunia 2026! https://t.co/OW99m9ht3d","1843648085886644632","","","in","Jakarta","0","0","0","https://x.com/kompascom/status/1843648085886644632","23343960","kompascom"
